2026-06-30 15:29:54.028 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:54.130 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:54.647 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:55.243 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:55.851 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:56.495 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:57.111 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:57.749 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:58.348 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:29:59.886 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:30:07.518 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:41.104 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:41.147 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:41.254 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:41.769 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:42.355 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:42.930 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:43.517 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:44.096 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:44.691 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:45.268 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
2026-06-30 15:38:46.640 | INFO     | app.middleware.logging_middleware:dispatch:59 - request_completed
