ds,yhat,yhat_lower,yhat_upper
2022-01-04,43.88396606412989,37.62821378289962,50.35681203944799
2022-01-05,43.32354950781172,36.980570649017764,49.630381565361226
2022-01-06,43.69684110811639,37.034929492629836,50.096328682943955
2022-01-07,43.80635685137565,37.935450535175846,50.08150029928626
2022-01-10,43.27825924445499,37.21007680261673,49.33363066957441
2022-01-11,43.99512217863706,37.5855994338095,50.22177333899005
2022-01-12,43.46496388968258,37.07431469044841,49.70720009379059
2022-01-13,43.86498137438881,37.152905146344295,50.36300685556453
2022-01-14,43.997506612361065,37.04520953677227,49.99086935502805
2022-01-17,43.51605812232211,36.796997283619184,49.67484630171636
2022-01-18,44.24154346374921,37.97939342077963,50.476831570408834
2022-01-19,43.71723671128963,37.332917141946915,50.19861391195577
2022-01-20,44.12059430893949,38.08853339800483,50.55010385205914
2022-01-21,44.25444446878652,37.89636916067979,50.32080632783035
2022-01-24,43.770362917445205,37.59254655017276,50.31158499538987
2022-01-25,44.494627587827516,37.96554081413066,50.385121646883945
2022-01-26,43.96980228403614,37.718689551616635,50.24223942618711
2022-01-27,44.373792128834744,37.93967847918452,50.41958292535347
2022-01-28,44.509798324015215,38.16415941031148,50.56003310315138
2022-01-31,44.0436194528879,37.55694046960907,50.468606540109526
2022-02-01,44.77787471366658,38.21464904754245,50.840417656209446
2022-02-02,44.26486060197072,38.04389326316801,50.99394497718634
2022-02-03,44.68218797134781,38.31250932202238,50.906136857191655
2022-02-04,44.832650092613726,38.16869489510872,51.20946675914965
2022-02-07,44.410991140008164,38.27511255172905,50.9121453785442
2022-02-08,45.158232293100454,39.26948729250419,51.298220162278525
2022-02-09,44.65603289747853,38.72314798283165,51.04679009530481
2022-02-10,45.08122930178861,39.019297590899235,51.242800879003575
2022-02-11,45.23585577997469,38.51124531329717,51.262202892451214
2022-02-14,44.797632658723,38.306406056747335,51.46372987627294
2022-02-15,45.527813275397875,38.92243659612411,51.73383136309016
2022-02-16,45.002145537335615,39.1633392461754,51.12809638599725
2022-02-17,45.39729499224147,39.12234217320207,51.91036826078688
2022-02-18,45.515286334948314,38.77136497658024,51.93227318346779
2022-02-21,44.93010376853891,38.503306984639394,50.89829216964336
2022-02-22,45.60063590823607,39.694989486655814,52.33948017710571
2022-02-23,45.01124654829664,38.384115142788204,51.40947149648833
2022-02-24,45.3395789024536,39.14333533356572,51.94802521508478
2022-02-25,45.388758728138036,39.38995899207359,52.086444578610234
2022-02-28,44.59751760217534,38.244380526464255,50.88320973825466
2022-03-01,45.20380192551012,38.61966368095738,51.33000461239289
2022-03-02,44.55459256956,38.22635814043673,51.05044539083589
2022-03-03,44.82878047384283,38.78578575733398,51.09084473142906
2022-03-04,44.83064911611779,38.48262426212658,50.65372083318227
2022-03-07,43.94804449576522,37.567580594564475,50.38255131429197
2022-03-08,44.54310154841585,37.51651298367926,51.04803380713662
2022-03-09,43.892910557195876,37.824766095523216,50.35754329361989
2022-03-10,44.17641365542801,37.89289852460134,50.79924413528128
2022-03-11,44.197705209722656,38.119963032370194,50.280039378508135
2022-03-14,43.42853082737282,36.811898107470874,49.24784124141865
2022-03-15,44.07681973222018,37.84571966421304,50.37550309583921
2022-03-16,43.48557856707322,36.96389886981783,49.164458066329885
2022-03-17,43.832298293839074,37.545126629734824,50.37849037914908
2022-03-18,43.91949491799361,37.61488394489408,50.08901485071074
2022-03-21,43.34725737886362,37.118420157445755,49.53305410583582
2022-03-22,44.05520542956584,37.25062637499713,50.1976317857641
2022-03-23,43.517869474927814,36.88032201933483,49.63012696470735
